Species,X,Y,NLCD52P,warm
background,2299092,9753582,7.775378,100.0
background,2299093,9756538,3.865979,100.0
background,2299094,9751746,2.122241,0.0
background,2299095,9752000,4.152874,0.0
background,2299096,9753252,9.102564,100.0
background,2299097,9754690,9.895833,0.0
background,2299098,9752698,4.863424,0.0
background,2299099,9751674,0.0,0.0
background,2299100,9751728,0.0,0.0
background,2299101,9750366,0.0,0.0
background,2299102,9752840,4.178674,5.487125605407674
background,2299103,9752028,3.674833,0.0
background,2299104,9752272,4.286828,0.0
background,2299105,9752292,0.0,0.0
background,2299106,9752856,0.0,31.714976263980688
background,2299107,9754706,4.352597,0.0
background,2299108,9750446,0.660611,0.0
background,2299109,9752658,2.487562,0.0
background,2299110,9751736,0.0,0.0
background,2299111,9751826,0.0,0.0
background,2299112,9750524,0.0,0.0
background,2299113,9750334,1.328654,0.0
background,2299115,9751612,1.418999,0.0
background,2299116,9753550,9.269357,100.0
background,2299117,9753622,15.890411,100.0
background,2299118,9751926,6.574924,0.0
background,2299119,9753118,15.149545,100.0
background,2299120,9754728,0.0,0.0
background,2299121,9754766,0.291508,0.0
background,2299122,9753426,5.972851,100.0
background,2299123,9753492,0.0,100.0
background,2299124,9750634,0.449714,0.0
background,2299126,9753854,3.035897,100.0
background,2299127,9752782,7.784257,0.0
background,2299128,9753014,8.521739,100.0
background,2299129,9751796,0.270416,0.0
background,2299130,9755002,0.775416,0.0
background,2299131,9753244,9.239039,100.0
background,2299132,9751656,0.0,0.0
background,2299133,9754764,3.968254,0.0
background,2299134,9752864,20.512821,0.0
background,2299135,9753206,8.581236,100.0
background,2299136,9753574,9.030655,100.0
background,2299137,9754904,0.757576,0.0
background,2299138,9753844,6.718852,0.0
background,2299139,9751538,6.490958,100.0
background,2299140,9754916,16.666667,100.0
background,2299141,9753262,1.263362,100.0
background,2299142,9751978,3.766759,100.0
background,2299143,9755022,2.42915,0.0
background,2299144,9755064,1.408451,0.0
background,2299145,9752994,17.391304,69.68294633924191
background,2299146,9755190,3.330069,0.0
background,2299147,9754654,0.0,0.0
background,2299148,9750268,0.0,0.0
background,2299149,9751432,5.850053,0.0
background,2299150,9751598,0.0,0.0
background,2299151,9752364,0.0,0.0
background,2299152,9752468,8.761329,0.0
background,2299153,9754720,2.188392,0.0
background,2299154,9754772,0.0,0.0
background,2299155,9754820,1.583113,0.0
background,2299156,9753020,4.654169,26.60777684503519
background,2299157,9750280,0.0,0.0
background,2299158,9751752,0.167112,0.0
background,2299159,9754660,0.0,0.0
background,2299160,9753184,0.0,100.0
background,2299161,9750480,0.05534,0.0
background,2299162,9751932,9.663866,0.0
background,2299163,9754664,0.891089,0.0
background,2299164,9752402,0.0,0.0
background,2299165,9752362,0.0,0.0
background,2299166,9751904,1.239498,0.0
background,2299167,9751468,0.160987,0.0
background,2299168,9753478,0.0,100.0
background,2299169,9752600,0.0,0.0
background,2299170,9754730,1.033592,0.0
background,2299171,9754822,0.0,0.0
background,2299172,9754888,0.598251,0.0
background,2299173,9754666,0.0,0.0
background,2299174,9753336,2.336449,100.0
background,2299176,9754896,0.484721,0.0
background,2299177,9752318,0.216372,0.0
background,2299178,9752102,5.718475,0.0
background,2299179,9750508,4.182692,0.0
background,2299180,9753022,3.98773,0.0
background,2299181,9754770,0.0,0.0
background,2299182,9752350,0.0,0.0
background,2299183,9754590,0.0,0.0
background,2299184,9754594,0.0,0.0
background,2299185,9754496,0.0,0.0
background,2299186,9752534,3.720463,0.0
background,2299187,9753366,10.128317,100.0
background,2299188,9752250,2.505695,0.0
background,2299189,9753266,8.8536,100.0
background,2299190,9752976,0.0,100.0
background,2299191,9756848,1.269661,0.0
background,2299192,9750520,0.228311,0.0
background,2299193,9751390,3.157895,0.0
background,2299194,9751400,0.40309,0.0
background,2299195,9751374,0.0,0.0
background,2299196,9752458,13.857678,0.0
background,2299197,9754870,0.4158,0.0
background,2299198,9753316,5.524133,100.0
background,2299199,9754726,15.670651,0.0
background,2299200,9751900,3.040936,0.0
background,2299201,9752388,0.0,0.0
background,2299202,9752348,0.067249,0.0
background,2299203,9753122,5.429864,100.0
background,2299204,9754644,4.528986,0.0
background,2299205,9755000,0.240385,0.0
background,2299206,9753128,5.288462,100.0
