X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
2299192.0,9750520.0,train,0.0014295386853847868,70.48410187269862,0.6717550541732635
2299205.0,9755000.0,train,6.872378196979022E-4,42.507172023854615,0.4959268365274326
2299219.0,9752398.0,train,7.686444967033165E-4,45.81860688297924,0.5238955705107462
2299226.0,9754858.0,train,0.0018063766811722173,76.85997215501503,0.7211362670046532
2299229.0,9754848.0,train,0.001370260420661038,68.86087476958517,0.6623496443567406
2299257.0,9753814.0,train,0.001960125405634485,79.12465780183243,0.7372628384295175
2299259.0,9754914.0,train,0.001227291431235221,63.93291829006447,0.6372831393342017
2299278.0,9754776.0,train,0.0018620008292360877,77.82141302352682,0.7271942208177891
2299280.0,9752298.0,train,0.0013478243380281242,67.82919965796037,0.6586476640512554
2299281.0,9753806.0,train,0.0048972323876520325,99.3880542554409,0.8751685520476977
2299287.0,9754748.0,train,0.0010651662326560446,57.66048807360591,0.6039408598363529
2299309.0,9752100.0,train,9.918788067791806E-4,54.89811566715919,0.5867697404933038
2299311.0,9754898.0,train,0.0031334067709653936,93.68133413802957,0.8177090719382905
2299318.0,9754616.0,train,0.001080696997214934,58.309879591332006,0.6073980424436625
2299321.0,9752278.0,train,1.862553806523508E-4,12.905607808702662,0.210509889934828
2299331.0,9753060.0,train,6.319145320372447E-4,39.49103705586283,0.47496613286728173
2299363.0,9752946.0,train,6.545662355185115E-4,40.53776048801751,0.4837555597205939
2299364.0,9753892.0,train,0.002434970521424661,87.67271120708968,0.777077604063274
2299375.0,9752854.0,train,5.948835837455066E-4,37.7774231158102,0.4599341649992849
2299388.0,9754928.0,train,6.773842905389396E-4,42.030276748955515,0.4923169376238666
2299389.0,9753278.0,train,6.417165458191268E-4,39.81437523379797,0.4788060247502084
2299392.0,9756614.0,train,5.008069992277612E-4,33.702034255633414,0.41757101890079185
2299401.0,9754536.0,train,0.002571481068654951,88.94517100853896,0.7863837771103165
2299416.0,9756668.0,train,9.071794916291196E-4,51.52879025967902,0.5649722784605634
2299417.0,9756694.0,train,0.001465313723594314,71.99460369550225,0.6771819679573384
2299423.0,9752226.0,train,0.0010017420533334777,55.20530563413086,0.5891668861796759
2299424.0,9756830.0,train,0.002684743680438767,90.2656270739118,0.793535062265574
2299426.0,9754718.0,train,0.0014667902946163638,72.05618179202604,0.6774021037390066
2299427.0,9750476.0,train,9.352010053179064E-4,52.19329456069713,0.5724338249196925
2299449.0,9751434.0,train,2.207472685088294E-4,15.72717430757769,0.24013218422150961
2299467.0,9753764.0,train,4.942739863871893E-4,33.254378919986685,0.41438103416842664
2299493.0,9753084.0,train,6.72938253065163E-4,41.758904644654066,0.4906711223971744
2299508.0,9754582.0,train,0.002296970954734342,84.85304686008897,0.7668077933401584
2299510.0,9756568.0,train,0.0019252142174865949,78.54267222215893,0.7337668886645341
2299515.0,9756564.0,train,0.0011949709191508668,62.54875310713999,0.631091848416294
2299516.0,9756576.0,train,0.002289456627566759,84.62318812417193,0.7662213501323359
2299529.0,9750542.0,train,5.016354614975162E-4,33.75266092515294,0.417973064929952
2299552.0,9755430.0,train,9.620400212496793E-4,53.62629678783335,0.5793443905504223
2299574.0,9756566.0,train,0.001171334966566207,61.79754440592958,0.6264286716234537
2299585.0,9753870.0,train,5.408481947920138E-4,35.815485572388695,0.4363878858814277
2299626.0,9751820.0,train,5.404393676661984E-4,35.79860216757485,0.43620190829517574
2299795.0,9756604.0,train,0.0012607914024241231,64.99406774207006,0.6434847889290635
2299821.0,9752430.0,train,8.440927414094092E-4,49.008765027852455,0.547181445360988
2299848.0,9752888.0,train,3.2715614076949236E-4,23.04276986778448,0.3189642298521488
2299862.0,9753430.0,train,7.562706226138622E-4,45.228255744901716,0.5198460330739464
2299881.0,9752720.0,train,0.0023220476549336367,85.54599590509673,0.7687437466879342
2299883.0,9756700.0,train,0.0017229550072460674,75.27643396987699,0.7115292238326888
