X,Y,Nocomis_leptocephalus logistic values
2306586.0,1.2032577E7,0.7190576
2306601.0,1.2034363E7,0.5736286
2306602.0,1.2034293E7,0.42908064
2306609.0,1.2034505E7,0.7979725
2306621.0,1.2034699E7,0.7705496
2306628.0,1.2036783E7,0.6086556
2306643.0,1.2032835E7,0.20088689
2306644.0,1.2036507E7,0.63835424
2306666.0,1.2034373E7,0.7600562
2306684.0,1.2035539E7,0.4225496
2306689.0,1.2034633E7,0.632389
2306690.0,1.2034327E7,0.6202991
2306698.0,1.2032811E7,0.5602035
2306724.0,1.2036877E7,0.70785815
2306733.0,1.2034679E7,0.72602886
2306741.0,1.2034257E7,0.7101646
2306757.0,1.2034555E7,0.7669424
2306761.0,1.2032755E7,0.52981776
2306769.0,1.2034657E7,0.66883564
2306801.0,1.2034431E7,0.78875774
2306807.0,1.2037371E7,0.57457805
2306811.0,1.2034291E7,0.73344964
2306822.0,1.2033355E7,0.7637992
2306833.0,1.2034205E7,0.74693847
2306839.0,1.2034295E7,0.7954966
2306840.0,1.2035925E7,0.5976817
2306876.0,1.2035561E7,0.48906004
2306879.0,1.2037103E7,0.7688111
2306885.0,1.2037111E7,0.68287563
2306888.0,1.2037117E7,0.43541974
2306904.0,1.2037113E7,0.83766925
2306908.0,1.2032725E7,0.5827531
2306909.0,1.2035415E7,0.71283376
2306948.0,1.2037753E7,0.74043226
2306956.0,1.2037119E7,0.8117799
2306975.0,1.2034323E7,0.39947125
2306994.0,1.2036931E7,0.17297181
2306995.0,1.2037781E7,0.75061816
2307001.0,1.2036959E7,0.85172796
2307007.0,1.2036919E7,0.7101186
2307013.0,1.2036987E7,0.8042976
2307076.0,1.2036801E7,0.5747718
2307079.0,1.2037275E7,0.8573953
2307086.0,1.2035413E7,0.7472292
2307098.0,1.2034581E7,0.74461913
2307112.0,1.2037293E7,0.5566751
2307121.0,1.2037219E7,0.75303745
2307159.0,1.2034303E7,0.7444625
2307178.0,1.2037783E7,0.07799154
2307243.0,1.2037367E7,0.2785246
2307269.0,1.2036925E7,0.8412505
2307271.0,1.2034277E7,0.7854508
2307301.0,1.2034269E7,0.4867467
2307312.0,1.2036965E7,0.61728716
