X,Y,Nocomis_leptocephalus logistic values
2307618.0,1.2033323E7,0.62453157
2307810.0,1.2036779E7,0.60824364
2307812.0,1.2037189E7,0.15424258
2307828.0,1.2037445E7,0.6808314
2307844.0,1.2032657E7,0.20688511
2307846.0,1.2036841E7,0.3214572
2307937.0,1.2037251E7,0.64323324
2307946.0,1.2037021E7,0.48976246
2307949.0,1.2036839E7,0.6941437
2307974.0,1.2036397E7,0.2383898
2307991.0,1.2037531E7,0.14586602
2307995.0,1.2037745E7,0.37390602
2308019.0,1.2037175E7,0.10671987
2308028.0,1.2037337E7,0.5271515
2308043.0,1.2036527E7,0.59238863
2308074.0,1.2034357E7,0.6939268
2308085.0,1.2034777E7,0.4608965
2308095.0,1.2036423E7,0.4566345
2308114.0,1.2034365E7,0.68685454
2308116.0,1.2034551E7,0.80482835
2308126.0,1.2034583E7,0.8100783
2308134.0,1.2032735E7,0.5759302
2308152.0,1.2032701E7,0.7598387
2308179.0,1.2032823E7,0.3563054
2308180.0,1.2032717E7,0.59329045
2308182.0,1.2032667E7,0.41358635
2308202.0,1.2035409E7,0.71973765
2308218.0,1.2032745E7,0.5843329
2308219.0,1.2032771E7,0.5187257
2308263.0,1.2032785E7,0.4317294
2308300.0,1.2032677E7,0.18579628
2308304.0,1.2034247E7,0.74527615
2308315.0,1.2034241E7,0.76472986
2308361.0,1.2034671E7,0.75500906
2308402.0,1.2037751E7,0.35328275
2308480.0,1.2037349E7,0.6046125
2308694.0,1.2036607E7,0.39206892
2293133.0,9095630.0,2.6769038E-5
2297822.0,1.1566032E7,1.99216E-4
2298591.0,9753948.0,0.1941151
2298592.0,9750426.0,0.07557332
2298610.0,9750466.0,0.47716156
2298611.0,9751800.0,0.6503009
2298612.0,9750338.0,0.42537543
2298613.0,9752294.0,0.54485303
2298634.0,9752412.0,0.23736905
2298657.0,9751462.0,0.29325318
2298658.0,9755424.0,0.24804679
2298659.0,9750262.0,0.036607277
2298677.0,9751936.0,0.37017733
2298678.0,9751976.0,0.37570786
2298786.0,9751808.0,0.56258273
2298788.0,9752612.0,0.1521507
2298789.0,9750392.0,0.19318523
2298791.0,9752706.0,0.029848384
2298792.0,9755026.0,0.032468565
2298793.0,9754832.0,0.10221749
2298794.0,9754842.0,0.19481575
2298795.0,9754774.0,0.094743
2298798.0,9752654.0,0.12601358
2298801.0,9752724.0,0.43930158
2298802.0,9751848.0,0.11907937
2298805.0,9750404.0,0.4960164
2298806.0,9752626.0,0.27253333
2298810.0,9750438.0,0.37726015
2298811.0,9751974.0,0.2368245
2298812.0,9752970.0,0.37685046
2298814.0,9753158.0,0.7693153
2298815.0,9752134.0,0.17875749
2298818.0,9753936.0,0.08546215
2298819.0,9751822.0,0.2652923
2298820.0,9750430.0,0.10481781
2298821.0,9752194.0,0.43626037
2298822.0,9751566.0,0.3104133
2298823.0,9751676.0,0.3880112
2298828.0,9751478.0,0.06627778
2298829.0,9753442.0,0.18481857
2298830.0,9751868.0,0.37780657
2298831.0,9751812.0,0.16156535
2298832.0,9751688.0,0.05836744
2298833.0,9751778.0,0.6564955
2298834.0,9752492.0,0.3259476
2298835.0,9752530.0,0.2649284
2298836.0,9752730.0,0.30977514
2298843.0,9751854.0,0.25717527
2298845.0,9750550.0,0.2540405
2298846.0,9754096.0,0.06370555
2298847.0,9751480.0,0.40368962
2298848.0,9752222.0,0.021786466
2298849.0,9752406.0,0.58317673
2298850.0,9751872.0,0.26768672
2298851.0,9751922.0,0.32751596
2298852.0,9751412.0,0.30564952
2298853.0,9751436.0,0.34726962
2298856.0,9752306.0,0.08917965
2298857.0,9751604.0,0.45206857
2298859.0,9752108.0,0.22620963
2298860.0,9751894.0,0.010227511
2298861.0,9752376.0,0.22436039
2298862.0,9751830.0,0.025751062
