X,Y,Aphredoderus_sayanus logistic values
2299043.0,9751916.0,0.50234646
2299044.0,9751956.0,0.48131597
2299045.0,9752214.0,0.5382062
2299046.0,9752130.0,1.6117173E-4
2299047.0,9750562.0,0.48320854
2299048.0,9751384.0,0.5193566
2299049.0,9752484.0,0.48096514
2299050.0,9751456.0,1.5083284E-4
2299052.0,9752440.0,0.5075213
2299056.0,9752058.0,0.4875772
2299057.0,9752072.0,0.48110765
2299058.0,9751880.0,0.49255672
2299059.0,9753940.0,0.50897485
2299060.0,9751920.0,1.314042E-4
2299061.0,9754952.0,1.3391757E-4
2299062.0,9751896.0,1.314042E-4
2299063.0,9753348.0,0.52467895
2299064.0,9754684.0,1.6298518E-4
2299065.0,9755210.0,1.317898E-4
2299066.0,9752560.0,1.4689886E-4
2299067.0,9751696.0,1.314042E-4
2299068.0,9754672.0,1.314042E-4
2299069.0,9754528.0,1.4194532E-4
2299070.0,9750348.0,1.314042E-4
2299071.0,9754674.0,1.314042E-4
2299072.0,9754650.0,1.314042E-4
2299073.0,9751596.0,1.3365019E-4
2299074.0,9750512.0,1.3648387E-4
2299075.0,9753568.0,0.49477187
2299076.0,9755052.0,1.314042E-4
2299077.0,9753236.0,0.59807557
2299078.0,9753504.0,0.61915284
2299079.0,9754736.0,1.3974872E-4
2299080.0,9753376.0,0.5213477
2299081.0,9753508.0,0.48496875
2299082.0,9755028.0,1.3985926E-4
2299083.0,9751996.0,1.349304E-4
2299084.0,9755548.0,0.47262692
2299085.0,9752336.0,0.535141
2299086.0,9752470.0,3.608745E-4
2299087.0,9754908.0,1.3201161E-4
2299088.0,9752512.0,1.5912182E-4
2299089.0,9755208.0,1.362381E-4
2299090.0,9753098.0,0.49511898
2299091.0,9751784.0,0.47262692
2299092.0,9753582.0,0.5363723
2299093.0,9756538.0,0.50433975
2299094.0,9751746.0,1.4088787E-4
2299095.0,9752000.0,1.5060221E-4
2299096.0,9753252.0,0.54719216
2299097.0,9754690.0,1.8185565E-4
2299098.0,9752698.0,1.5415729E-4
2299099.0,9751674.0,1.314042E-4
2299100.0,9751728.0,1.314042E-4
2299101.0,9750366.0,1.314042E-4
2299102.0,9752840.0,2.4463594E-4
2299103.0,9752028.0,1.4825669E-4
