Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
3.57455E-4,34.531888503,0.479372971,0.094250984,0,0
3.57614E-4,34.782186479,0.479483702,0.09383992,0,0
3.5778E-4,35.032574778,0.479599796,0.093428857,0,0
3.57895E-4,35.283064995,0.479679754,0.093017793,0,0
3.5818E-4,35.533688232,0.479878959,0.09260673,0,0
3.58381E-4,35.784488786,0.480018496,0.092195666,0,0
3.58512E-4,36.035409316,0.480109853,0.091784603,0,0
3.58602E-4,36.250551651,0.480172922,0.091432263,0,0
3.58864E-4,36.501677221,0.480355084,0.091021199,0,0
3.58966E-4,36.752925762,0.480425845,0.090610136,0,0
3.59155E-4,37.004260034,0.480556909,0.090199072,0,0
3.59333E-4,37.255754698,0.480680943,0.089788009,0,0
3.59461E-4,37.507353916,0.480769907,0.089376945,0,0
3.59623E-4,37.759043013,0.480881967,0.088965882,0,0
3.59742E-4,38.010841628,0.480965137,0.088554818,0,0
3.59811E-4,38.262696638,0.481012589,0.088143755,0,0
3.59916E-4,38.514602197,0.481085727,0.087732691,0,0
3.60093E-4,38.766610715,0.481208065,0.087321628,0,0
3.6025E-4,39.018733648,0.48131718,0.086910564,0,0
3.60463E-4,39.270981789,0.481464734,0.086499501,0,0
3.60765E-4,39.523412951,0.481673735,0.086088437,0,0
3.60885E-4,39.776004227,0.481757145,0.085677374,0,0
3.61137E-4,40.028712272,0.48193125,0.08526631,0,0
3.61229E-4,40.281521099,0.481994763,0.084855247,0,0
3.61388E-4,40.534458774,0.482104301,0.084444183,0,0
3.61439E-4,40.751308772,0.482139978,0.084091843,0,0
3.61674E-4,41.004426907,0.482302235,0.08368078,0,0
3.61793E-4,41.2576461,0.482383972,0.083269716,0,0
3.61965E-4,41.51098678,0.482502856,0.082858653,0,0
3.62218E-4,41.764465348,0.482677603,0.082447589,0,0
3.62571E-4,42.054436298,0.482920451,0.081977803,0,0
3.627E-4,42.272030853,0.483009305,0.081625462,0,0
3.62875E-4,42.526003844,0.483129938,0.081214399,0,0
3.63043E-4,42.780094658,0.483245324,0.080803335,0,0
3.63291E-4,43.034308657,0.483415758,0.080392272,0,0
3.63359E-4,43.252308096,0.483462718,0.080039932,0,0
3.63571E-4,43.506751477,0.483608175,0.079628868,0,0
3.63787E-4,43.761336288,0.483756572,0.079217805,0,0
3.63919E-4,44.016034887,0.483847675,0.078806741,0,0
3.64122E-4,44.270832972,0.483986939,0.078395678,0,0
3.64291E-4,44.525783213,0.484102847,0.077984614,0,0
3.64567E-4,44.780899666,0.484291771,0.077573551,0,0
3.64804E-4,45.036209966,0.484454264,0.077162488,0,0
3.649E-4,45.255126735,0.48451998,0.076810147,0,0
3.64968E-4,45.510587313,0.484566266,0.076399084,0,0
3.65174E-4,45.766158317,0.484707249,0.07598802,0,0
3.65557E-4,46.021965682,0.484968764,0.075576957,0,0
3.65749E-4,46.277910583,0.485100387,0.075165893,0,0
3.6609E-4,46.534054108,0.485332679,0.07475483,0,0
3.66184E-4,46.753749912,0.485397303,0.07440249,0,0
3.66365E-4,47.010165041,0.485520261,0.073991426,0,0
3.66521E-4,47.266690363,0.485626511,0.073580363,0,0
3.66651E-4,47.523311229,0.485715665,0.073169299,0,0
3.66799E-4,47.779995985,0.485816282,0.072758236,0,0
3.67032E-4,48.036835192,0.485974808,0.072347172,0,0
3.67181E-4,48.257117285,0.48607633,0.071994832,0,0
3.67427E-4,48.514228435,0.486243492,0.071583769,0,0
3.67703E-4,48.771523245,0.486431077,0.071172705,0,0
3.67889E-4,49.065762409,0.486557725,0.070702919,0,0
3.67984E-4,49.286524817,0.48662221,0.070350578,0,0
3.68221E-4,49.507401983,0.486782515,0.069998238,0,0
3.68491E-4,49.765276868,0.48696596,0.069587175,0,0
3.68804E-4,50.023370152,0.487177895,0.069176111,0,0
3.68923E-4,50.281588323,0.4872584,0.068765048,0,0
3.69174E-4,50.50302008,0.48742866,0.068412708,0,0
3.6933E-4,50.761518174,0.487534136,0.068001644,0,0
3.6951E-4,51.020120448,0.487655932,0.067590581,0,0
3.6981E-4,51.278888635,0.487858897,0.067179517,0,0
3.69919E-4,51.500812119,0.487932056,0.066827177,0,0
3.70249E-4,51.759928071,0.488155056,0.066416114,0,0
3.70495E-4,52.019193424,0.488321097,0.06600505,0,0
3.70692E-4,52.278607728,0.488453874,0.065593987,0,0
3.70924E-4,52.501118727,0.488610179,0.065241647,0,0
3.71282E-4,52.760907731,0.488851468,0.064830583,0,0
3.71605E-4,53.020950553,0.489068652,0.06441952,0,0
3.7183E-4,53.281158089,0.489219533,0.064008456,0,0
3.72064E-4,53.504354428,0.489377317,0.063656116,0,0
3.72403E-4,53.764895678,0.489604327,0.063245053,0,0
3.72649E-4,54.025686843,0.489769847,0.062833989,0,0
3.72921E-4,54.286657449,0.489951857,0.062422926,0,0
3.73073E-4,54.510469239,0.490054082,0.062070585,0,0
3.73344E-4,54.771709412,0.490235366,0.061659522,0,0
3.73677E-4,55.033164244,0.490458336,0.061248459,0,0
3.74001E-4,55.25744956,0.49067472,0.060896118,0,0
3.74257E-4,55.51933581,0.49084536,0.060485055,0,0
3.74448E-4,55.781393493,0.490972903,0.060073991,0,0
3.74535E-4,56.006104559,0.491030881,0.059721651,0,0
3.7469E-4,56.268334052,0.491134641,0.059310588,0,0
3.7489E-4,56.530712747,0.491268204,0.058899524,0,0
3.7502E-4,56.755701007,0.491354573,0.058547184,0,0
3.75278E-4,57.018312219,0.491526493,0.058136121,0,0
3.75663E-4,57.281145008,0.491782899,0.057725057,0,0
3.75856E-4,57.506598457,0.491911222,0.057372717,0,0
3.76039E-4,57.769772992,0.492032545,0.056961654,0,0
3.76244E-4,58.03308494,0.492168808,0.05655059,0,0
3.76334E-4,58.258875735,0.492228744,0.05619825,0,0
3.76567E-4,58.522396415,0.49238365,0.055787187,0,0
3.76651E-4,58.7860191,0.492439261,0.055376123,0,0
3.76839E-4,59.012105818,0.492564003,0.055023783,0,0
3.77007E-4,59.275964462,0.492675497,0.054612719,0,0
3.77119E-4,59.502196509,0.492749323,0.054260379,0,0
3.77416E-4,59.766284745,0.492946688,0.053849316,0,0
3.77889E-4,60.030639034,0.493259436,0.053438252,0,0
3.78197E-4,60.257485926,0.493462799,0.053085912,0,0
3.78623E-4,60.522371283,0.493744501,0.052674849,0,0
3.78953E-4,60.787560159,0.493962513,0.052263785,0,0
3.79363E-4,61.015091445,0.49423259,0.051911445,0,0
3.79591E-4,61.280729051,0.494382644,0.051500382,0,0
3.79945E-4,61.508599304,0.494615817,0.051148042,0,0
3.80131E-4,61.774632073,0.494738069,0.050736978,0,0
3.80222E-4,62.002738476,0.494797742,0.050384638,0,0
3.80564E-4,62.269066335,0.495022407,0.049973574,0,0
3.80826E-4,62.535577662,0.495194804,0.049562511,0,0
3.8153E-4,62.764270594,0.49565648,0.049210171,0,0
3.81998E-4,63.031546948,0.495963067,0.048799107,0,0
3.82384E-4,63.260830885,0.496215259,0.048446767,0,0
3.8275E-4,63.52865544,0.496454786,0.048035704,0,0
3.82954E-4,63.758363991,0.496587809,0.047683364,0,0
3.83503E-4,64.02664363,0.49694602,0.0472723,0,0
3.83715E-4,64.256810456,0.497084044,0.04691996,0,0
3.84013E-4,64.525572618,0.4972782,0.046508897,0,0
3.84259E-4,64.756065191,0.497438154,0.046156556,0,0
3.84784E-4,65.0252828,0.497779747,0.045745493,0,0
3.85235E-4,65.256285232,0.498072598,0.045393153,0,0
3.85544E-4,65.526052879,0.498272866,0.044982089,0,0
3.8583E-4,65.757497757,0.498458315,0.044629749,0,0
3.86147E-4,66.027710971,0.498663543,0.044218686,0,0
3.86544E-4,66.259551486,0.498920651,0.043866346,0,0
3.87076E-4,66.530326223,0.499264286,0.043455282,0,0
3.87346E-4,66.76264915,0.499438374,0.043102942,0,0
3.87607E-4,67.033894261,0.49960665,0.042691879,0,0
3.88138E-4,67.266661222,0.499948866,0.042339538,0,0
3.88633E-4,67.538587884,0.500267896,0.041928475,0,0
3.89045E-4,67.771896676,0.500532961,0.041576135,0,0
3.89218E-4,68.005395206,0.500644003,0.041223795,0,0
3.89772E-4,68.278020046,0.500999461,0.040812731,0,0
3.90092E-4,68.512016315,0.501204542,0.040460391,0,0
3.9061E-4,68.785276745,0.501536526,0.040049328,0,0
3.90789E-4,69.019706718,0.501651106,0.039696987,0,0
3.91557E-4,69.254502905,0.502141992,0.039344647,0,0
3.91915E-4,69.528751625,0.502370452,0.038933584,0.5,0
3.92253E-4,69.764012723,0.502585775,0.038581244,0.5,0
3.92676E-4,70.038779835,0.502855331,0.03817018,0.5,0
3.9289E-4,70.274465946,0.502991607,0.03781784,0.5,0
3.93513E-4,70.510411317,0.503387591,0.0374655,0.5,0
3.93902E-4,70.786029256,0.503634451,0.037054437,0.5,0
3.94275E-4,71.022493135,0.503870849,0.036702096,0.5,0
3.94731E-4,71.259278994,0.504159647,0.036349756,0.5,0
3.95571E-4,71.535927758,0.504691238,0.035938693,0.5,0
3.96072E-4,71.77348101,0.505007899,0.035586353,0.5,0
3.96402E-4,72.011268015,0.505216063,0.035234013,0.5,0
3.96757E-4,72.28887153,0.505439969,0.034822949,0.5,0
3.97206E-4,72.527102239,0.505722298,0.034470609,0.5,0
3.97514E-4,72.765554716,0.50591636,0.034118269,0.5,0
3.98148E-4,73.044043985,0.506314625,0.033707205,0.5,0
3.9862E-4,73.283084248,0.506610831,0.033354865,0.5,0
3.9929E-4,73.522509188,0.50703035,0.033002525,0.5,0
3.99638E-4,73.762229756,0.507248022,0.032650185,0.5,0
4.00185E-4,74.002197498,0.507589761,0.032297845,0.5,0
4.00997E-4,74.282735442,0.508096753,0.031886781,0.5,0
4.01368E-4,74.523464965,0.508327823,0.031534441,0.5,0
4.01778E-4,74.764434459,0.508583259,0.031182101,0.5,0
4.02504E-4,75.005755567,0.509034185,0.030829761,0.5,0
4.02919E-4,75.28766183,0.50929193,0.030418698,0.5,0
4.03462E-4,75.529542115,0.509628238,0.030066357,0.5,0
4.03595E-4,75.771647941,0.50971067,0.029714017,0.5,0
4.04053E-4,76.013969538,0.509994385,0.029361677,0.5,0
4.0483E-4,76.256658843,0.51047392,0.029009337,0.5,0
4.05678E-4,76.540426795,0.51099688,0.028598274,0.5,0
4.06302E-4,76.783970426,0.511381038,0.028245933,0.5,0
4.07669E-4,77.028298105,0.512220486,0.027893593,0.5,0
4.08141E-4,77.273025286,0.512509217,0.027541253,0.5,0
4.08502E-4,77.558885538,0.512730389,0.02713019,0.5,0
4.09301E-4,77.763363863,0.513218827,0.026836573,0.5,0
4.09674E-4,78.009080844,0.51344603,0.026484233,0.5,0
4.10633E-4,78.255286228,0.514030316,0.026131893,0.5,0
4.11536E-4,78.501974625,0.514579184,0.025779553,0.5,0
4.11932E-4,78.790210171,0.514818885,0.025368489,0.5,0
4.1352E-4,79.038063623,0.515780133,0.025016149,0.5,0
4.13938E-4,79.286344349,0.516032299,0.024663809,0.5,0
4.14655E-4,79.534977493,0.516464674,0.024311469,0.5,0
4.15267E-4,79.783986573,0.516832672,0.023959129,0.5,0
4.15645E-4,80.033285707,0.517060103,0.023606788,0.5,0
4.15872E-4,80.282752728,0.517196289,0.023254448,0.5,0
4.16716E-4,80.532598445,0.517702911,0.022902108,0.5,0
4.17122E-4,80.782790295,0.517945853,0.022549768,0.5,0
4.17689E-4,81.033316803,0.518285283,0.022197428,0.5,0
4.19362E-4,81.284648009,0.519282836,0.021845088,0.5,0
4.1999E-4,81.536465485,0.519656283,0.021492748,0.5,0
