X,Y,Noturus_insignis logistic values
2298792.0,9755026.0,0.027409453
2298793.0,9754832.0,0.092190355
2298794.0,9754842.0,0.0107130315
2298795.0,9754774.0,0.030615011
2298798.0,9752654.0,0.13919704
2298801.0,9752724.0,0.11417816
2298802.0,9751848.0,1.348735E-4
2298805.0,9750404.0,0.43521297
2298806.0,9752626.0,0.058476686
2298810.0,9750438.0,0.06137737
2298811.0,9751974.0,0.24064885
2298812.0,9752970.0,0.51771516
2298814.0,9753158.0,0.32685915
2298815.0,9752134.0,0.052124865
2298818.0,9753936.0,0.023226732
2298819.0,9751822.0,0.2365917
2298820.0,9750430.0,0.025691535
2298821.0,9752194.0,0.34569973
2298822.0,9751566.0,0.069426164
2298823.0,9751676.0,0.25849512
2298824.0,9751576.0,0.18292356
2298828.0,9751478.0,0.0067236214
2298829.0,9753442.0,0.02974588
2298830.0,9751868.0,0.051088117
2298831.0,9751812.0,0.017181182
2298832.0,9751688.0,0.026665771
2298833.0,9751778.0,0.3802946
2298834.0,9752492.0,0.2234969
2298835.0,9752530.0,0.21774465
2298836.0,9752730.0,0.023288636
2298838.0,9755474.0,0.084551945
2298843.0,9751854.0,0.011737885
2298845.0,9750550.0,0.05357162
2298846.0,9754096.0,0.1766995
2298847.0,9751480.0,0.3667147
2298848.0,9752222.0,0.016765008
2298849.0,9752406.0,0.41306752
2298850.0,9751872.0,0.28345463
2298851.0,9751922.0,0.28683305
2298852.0,9751412.0,0.042099793
2298853.0,9751436.0,0.1598144
2298856.0,9752306.0,0.025513988
2298857.0,9751604.0,0.18244511
2298859.0,9752108.0,0.09951391
2298860.0,9751894.0,0.0063605844
2298861.0,9752376.0,0.5283284
2298862.0,9751830.0,0.00809729
2298863.0,9750410.0,0.29569662
2298864.0,9752394.0,0.06873307
2298867.0,9755432.0,0.06574947
2298868.0,9751722.0,0.21317835
2298871.0,9752518.0,0.07853037
2298872.0,9751860.0,0.0049090446
2298873.0,9750378.0,0.3161113
2298874.0,9751628.0,0.6419055
2298875.0,9751698.0,0.4527485
2298877.0,9751650.0,0.002851971
2298880.0,9752358.0,0.2892821
2298882.0,9751420.0,0.3429646
2298883.0,9751572.0,0.0023128516
2298884.0,9753812.0,0.03711711
2298885.0,9751492.0,0.48869604
2298886.0,9751886.0,0.16907543
2298887.0,9750548.0,3.2816155E-4
2298888.0,9751416.0,0.16417578
2298892.0,9753938.0,0.07423027
2298897.0,9751490.0,0.0027959887
2298898.0,9751370.0,0.49773124
2298904.0,9754128.0,0.024765568
2298910.0,9750272.0,0.030968448
2298911.0,9750300.0,0.049929902
2298912.0,9751524.0,0.45372263
2298914.0,9752466.0,0.07016732
2298915.0,9761474.0,4.6201365E-4
2298916.0,9750312.0,0.16702817
2298917.0,9752120.0,0.00695766
2298918.0,9750504.0,6.8309484E-5
2298919.0,9752288.0,0.15250202
2298920.0,9752772.0,0.3754201
2298921.0,9752774.0,0.029200155
2298922.0,9752044.0,0.3153658
2298923.0,9750436.0,0.009025267
2298925.0,9753760.0,0.5364152
2298929.0,9752330.0,0.3291953
2298930.0,9752382.0,0.2912615
2298933.0,9751408.0,0.29339412
2298936.0,9751890.0,0.0026301555
2298937.0,9751690.0,0.1373362
2298938.0,9752416.0,0.21929981
2298940.0,9751678.0,3.809016E-4
2298941.0,9751724.0,0.24422084
2298943.0,9752722.0,0.47321537
2298944.0,9754134.0,0.02693191
2298947.0,9752182.0,0.50049686
2298948.0,9752316.0,0.3995164
2298949.0,9752020.0,0.032307897
2298950.0,9752090.0,0.0844851
2298952.0,9753952.0,0.0012794366
2298955.0,9752200.0,0.46802208
2298956.0,9752240.0,0.16452807
2298958.0,9751514.0,0.0037038843
2298959.0,9752198.0,0.008475692
2298960.0,9752746.0,0.047479972
2298963.0,9752230.0,0.5631505
2298964.0,9752266.0,0.18112636
2298965.0,9752566.0,0.24406996
2298966.0,9752648.0,0.12717284
2298969.0,9752172.0,0.001063245
2298970.0,9753800.0,0.043220285
2298973.0,9751876.0,0.14299347
2298974.0,9750322.0,0.011191907
2298975.0,9752070.0,0.30429018
2298976.0,9752238.0,2.9546604E-4
2298977.0,9751442.0,0.13076833
2298980.0,9755486.0,0.08152396
2298981.0,9755496.0,0.0052466583
2298982.0,9750534.0,0.021602416
2298983.0,9751378.0,0.011923392
2298984.0,9752124.0,0.054162577
2298986.0,9752544.0,0.22392602
2298987.0,9750632.0,0.004561016
2298988.0,9751928.0,0.31740105
2298989.0,9752186.0,0.34076384
2298992.0,9752554.0,0.030640924
2298993.0,9752078.0,0.08283762
2298997.0,9750488.0,0.16072482
2298999.0,9751762.0,0.33998173
2299000.0,9753774.0,0.25649178
2299001.0,9751824.0,0.035962835
2299002.0,9754104.0,0.021378255
2299003.0,9756870.0,9.223023E-4
2299007.0,9752424.0,0.025400661
2299008.0,9751738.0,0.19682325
2299009.0,9752702.0,0.07910846
2299010.0,9752128.0,0.22240503
2299014.0,9752310.0,0.073059015
2299015.0,9751474.0,0.24614808
